"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"A_Different_Drummer","23 February 2015","If you want to skip this review just jump to the IMDb list of awards and nominations, and you're done.If you want the skinny, let me say this is one of the most perfect dramas ever to grace your flat screen.Harrelson, you need to understand, is no slouch. He does crazy better than crazy people. And he usually steals any scene not nailed down.But Matthew McConaughey operates at such a level here -- not to mention the astonishing makeup which makes him appear to be playing his own father -- that he walks off with this production. Mesmerizing.Everyone is pitch perfect, which I believe explains the casting awards. Even Michelle Monaghan, usually known for getting by on her amazing looks, does more acting her than anytime in her career((Designated ""IMDb Top Reviewer."" Please check out my list ""167+ Nearly-Perfect Movies (with the occasional Anime or TV miniseries) you can/should see again and again (1932 to the present))","
            10/10
            "
"DiCaprioFan1","30 September 2022","The first season of True Detective is among the best television I've ever seen. Just read through the reviews to see how loved that first season was. This show is an anthology series and every season is different in quality. Season 1 is BY FAR the best and again some of the best tv of all-time, Season 2 was not good despite a great cast and Season 3 was back to be watchable again. Now about that first season...it sucks you into the story from the beginning of the first episode and holds onto you throughout the season until that phenomenal ending. Matthew McConaughey and Woody Harrelson are so amazing in this that you forget that they're A-list actors and actually become the characters they are playing. Both of their performances are as good as anything you'll see from a television show. They're about to start filming season 4 and it should be out some time in late 2023. If you haven't seen this series yet then make time as soon as you can (except you can skip Season 2).","
            9/10
            "
"ksgillihan","6 February 2023","Before season one aired I had never seen anything so compelling in storytelling or filmmaking in my entire life. The following two seasons are watchable and well-made but nowhere near as phenomenal as season one. This is a paint-by-numbers example of how to do a gripping and unique story. There is nothing negative I can say about season one. Everything is top-notch. The acting, the story, the camera work, the music, the mood, everything.We see through the relationship of the two main characters a complicated and sometimes volatile relationship. They aren't enemies but they aren't exactly friends either. The dialogues they share together are some of the most interesting filmmaking I've ever seen. They aren't good men or bad men either. They exist in the grey area. They are just good enough to not be bad but bad enough to not be good. They are stark contrasts of one another as well. The relationship Rust and Marty have evolves constantly throughout the series and is the highlight of the entire show. I cannot recommend this season enough.","
            10/10
            "
"Tweekums","23 March 2020","This crime drama is centred on two Louisiana detectives, Marty Hart and Rust Cohle and their investigation of a particularly disturbing murder. A woman's naked body was found at a remote location; posed with a stag's antlers on her head and with strange 'stick sculptures' nearby. This crime took place in 1995 and we are shown it in flashback as other officers interview them about the case in 2012. Inevitably as the season progresses the plot deepens, more potential victims emerge along with various suspects.If you like your crime drama to be fast paced and action packed then this might not be for you; it moves at a fairly slow pace. This doesn't mean it is boring though; quite the opposite. I was gripped from start to finish. While there isn't a lot of action there is some and occasionally there are sudden moments of shocking violence. As much as the story is about solving a crime it is about its effects on our two protagonists; Woody Harrelson and Matthew McConaughey really impress in these roles. The latter is particularly good as Cohle is so different in 1995 and 2012. The series has a great look with the Louisiana scenery almost being another character... it looks as if nature is just waiting to take over. As the story approaches its conclusion it employs tropes one might expect in a horror film leading me to wonder about the safety of Marty and Rust. Overall I'd definitely recommend watching this; this season has a proper conclusion so it can be enjoyed on its own; on the strength of this I'll watch further seasons given the chance.","
            10/10
            "
"gogoschka-1","13 January 2014","Right when the opening credits start and you hear that morbidly beautiful song 'Far From Any Road' by 'The Handsome Family', you know that this isn't going to be your usual cop show. Now, if you're more into action films, avoid this at all costs - but if you like amazing performances and dark, brooding cinema peppered with some black humour and a slight psychedelic touch, you're going to love this. The atmosphere and the southern ambiance of this show are so rich and the cinematography is so beautiful, I can hardly think of anything in recent TV-history that compares to this. To make a musical analogy: if the crazy, creative energy of 'Breaking Bad' felt like 'Led Zeppelin', this feels more like 'The Doors'. The slow, bluesy, hypnotic pulse of this show draws you in and hooks you - and then it doesn't let go. By the way, the original music is also excellent (T-Bone Burnett) and fits the mood perfectly. As far as the actors are concerned, there's nothing but great performances. Even the smaller parts are perfectly cast and the two leads: wow, just - wow! Harrelson (freshly returned from 'The Hunger Games'), plays the ""normal"", more down to earth character, while McConaughey (still marked by his own personal hunger games) nails the part of his slightly mad, highly intelligent but nihilistic and severely depressed partner. Watching them play off each other (again, after 'Edtv' and 'Surfer, Dude') while their conflicted - and conflicting - characters try to solve a ritual murder is so captivating (and so much fun) I honestly don't care that much if they are ever going to solve that crime.So for the moment, I'm giving this 10 stars (I can still take back a few if it all goes downhill from here), because in my opinion, there wasn't a single note out of key so far. The writing is top notch, and if the creative team behind this can keep it up, this could turn out to be HBO's next 'Wire' in terms of quality. Cary Fukunaga ('Sin Nombre','Jane Eyre'), who will hopefully one day adapt Stephen King's 'It', proves once more that he's a very accomplished director and a talent to look out for in the future. My verdict: if you like a well told, character driven story (that might lead you to some very dark places) and if you're not put off by a rather considerate pace, I can't recommend this show enough - this is some great television.Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: imdb.com/list/ls054808375/Favorite TV-Shows reviewed: imdb.com/list/ls075552387/","
            10/10
            "
"grantss","10 August 2015","(Review updated after Season 3).A murder-mystery series with each season set in a different location, with different characters, and independent from the others.Season 1 of True Detective was great. A slow-burning, incredibly intriguing crime-drama. Viewers were fed pieces of information regarding the crime, complete with a few red herrings and sudden bursts of action. All this was interspersed with the private lives and dramas of the two detectives (played superbly by Matthew McConoughey and Woody Harrelson). Plus, the finale was an incredible adrenaline rush of action. This all made for a highly intriguing, engaging and entertaining season.In Season 2 creator Nic Pizzolatto tried the same thing: a slow-burn, with a rush of action towards the end. However, the first half of the season is too unfocused to be engaging. You have whole 50- minute episodes where you feel you really only got maybe 10 minutes of entertainment or information out of it. So many scenes with people staring blankly at each other for minutes on end...I understand what he was trying to do: develop the characters, give us small pieces of information, build the background and intrigue. However, this time the story develops too slowly to maintain, or even develop, any engagement with the characters.By the time you reach the climax of the season, you are so disengaged you hardly care who the characters are. e.g. Someone dies. You're pretty sure you're supposed to know the character and their relevance to the story but you were zoned out whenever their character was mentioned or had screen time. Thus, a piece of the puzzle dissolves.All this leads to a massive dissipation of intrigue, and watching is just a chore - you're in this far, might as well see it through.Add in some terrible miscasting and performances - Vince Vaughan should stick to B-grade comedies and Taylor Kitsch should stick to whatever he does best (this isn't it) - and a damp squib of a finale and Season 2 is very disappointing.Season 3, released 3½ years after Season 2, initially looked very promising and had the potential to see a return to the form of Season 1. Puzzling mystery and a 3-time period storyline made for intriguing and engaging drama.However, the mystery soon dissipated as the 3-time period formula gave away much of where the mystery was heading. Rather than being a murder mystery it became a human/relationship drama, and not a very interesting one. Nic Pizzolatto did his best to recreate the dark, brooding atmosphere that permeated Season 1 but it can't hide the lack of genuine intrigue or of character engagement. Good ending though.Season ratings: S1 - 9/10, S2 - 5/10, S3 - 6/10.","
            7/10
            "
"ricochet93-369-308802","4 January 2019","Season one is a beautiful thing.Then Vince Vaughan happened and the less said about that the better.","
            10/10
            "
"normaxjean-23753","20 July 2022","Season 1 still remains the greatest television I've ever seen. McConaughey's best performance to date and Harrelson goes toe-to-toe with him. Everything from the acting (including every minor character) to the writing to the cinematography to the score is phenomenal.","
            10/10
            "
"loganschainker","7 July 2022","True Detective Season 1 is one of the greatest pieces of television ever conceived. Matthew McConaughey and Woody Harrelson both deliver the best performances of their careers. Especially McConaughey. Nic Pizzolatto's writing is some of the best I've ever seen. All 8 episodes are directed by the same person (Cary Joji Fukunaga) which help create consistency. It has a very cinematic feel to it. Which makes sense considering it was shot on film. True Detective is one of the most philosophically deep shows of all time. Pessimism, nihilism, morality, decay, the value of human life are all themes that are masterfully explored and depicted. But at it's core, this show (or season) is about the love/hate relationship between the two leads. I have yet to see seasons 2 and 3, which is why I haven't rated the show overall. However, True Detective Season 1 is undoubtedly a 10/10.","
            10/10
            "
"Supermanfan-13","24 February 2021","True Detective was an absolutely incredible crime series! Like most others here have already said...this is mostly based off Season 1. Season 2, even though it had an amazing cast, was not that good at all & Season 3 was better and absolutely worth watching! There has never been nothing like Season 1 in the history of TV. I'm not saying it's the best show I've ever seen but it's on the list!","
            9/10
            "
